Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly
-0.247143,0.148571,-0.117143,104.628571,1.461429,-0.011429,0.294788,55.714286,11.085,0.994898,0.0,0.285714,0.142857,0.285714,0.714286,0.285714,0.142857,0.142857,0.0,-1
-0.38,-0.248571,-0.441429,8.571429,-1.17,0.525714,0.51074,264.285714,2.928411,-2.004208,0.0,0.285714,0.714286,0.0,0.714286,0.285714,0.285714,0.0,0.285714,-1
0.147143,-0.027143,0.224286,180.685714,3.868571,-0.572857,0.245313,0.0,11.539912,1.994157,0.142857,0.428571,0.0,0.142857,0.428571,0.571429,0.285714,0.285714,0.0,-1
0.072857,0.062857,0.111429,26.2,0.855714,0.144286,0.443721,55.714286,9.563519,1.028185,0.142857,0.142857,0.142857,0.571429,0.571429,0.428571,0.285714,0.285714,0.0,-1
0.731429,-0.905714,-0.787143,8.571429,7.34,-0.702857,0.213214,0.0,2.508644,-6.004027,0.142857,1.0,0.0,0.0,0.142857,0.857143,0.857143,0.0,0.857143,-1
-0.188571,-0.328571,-0.007143,-2.2,0.491429,0.112857,0.366999,14.285714,5.105964,-0.289767,0.571429,0.571429,0.142857,0.142857,0.714286,0.285714,0.0,0.0,0.0,-1
0.035714,0.048571,-0.082857,71.342857,0.672857,0.131429,0.290223,41.428571,6.943251,-0.005127,0.142857,0.285714,0.142857,0.285714,0.571429,0.428571,0.285714,0.142857,0.142857,-1
-0.257143,0.06,0.291429,-39.942857,-0.432857,-0.037143,0.801924,222.857143,10.871898,2.992684,0.0,0.0,0.571429,0.0,0.571429,0.428571,0.428571,0.428571,0.0,-1
1.0,-0.89,-1.0,8.571429,8.72,-0.9,0.029145,0.0,2.464581,-7.003849,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1
-0.467143,-0.257143,-0.038571,38.285714,-0.552857,0.421429,0.114667,70.0,5.939312,-0.007227,0.285714,0.571429,0.285714,0.285714,0.857143,0.142857,0.0,0.0,0.0,-1
0.224286,0.144286,0.05,36.085714,3.454286,-0.38,0.40114,55.714286,9.748387,1.031018,0.0,0.0,0.142857,0.428571,0.428571,0.571429,0.571429,0.428571,0.142857,-1
-0.471429,-0.304286,-0.128571,42.4,-0.787143,0.498571,0.11154,84.285714,3.294999,-1.00652,0.428571,0.428571,0.428571,0.285714,0.857143,0.142857,0.142857,0.0,0.142857,-1
0.071429,-0.068571,-0.122857,-34.442857,3.505714,-0.177143,0.717801,0.0,6.68005,-0.004924,0.142857,0.428571,0.0,0.285714,0.428571,0.571429,0.285714,0.142857,0.142857,-1
-0.51,-0.014286,-0.27,55.371429,-1.247143,0.55,0.388406,97.142857,6.015,-0.005094,0.0,0.428571,0.285714,0.285714,0.857143,0.142857,0.0,0.0,0.0,-1
